id,text,top_tone,tones,violence_score
26,"An earthquake of magnitude 5.1 hit northern Iran. This event occurred amidst ongoing Israeli airstrikes. Some analysts speculate a possible link to Iran's nuclear program. Semnan province, near the epicenter, houses key nuclear and missile infrastructure. Iran denies pursuing nuclear weapons. The incident has heightened tensions in West Asia. Investigations are underway to determine the cause of the tremor.",Passive-Aggressive,"Passive-Aggressive, Criticism",0.993
27,"Shubman Gill's impressive Test captaincy debut at Headingley was slightly overshadowed when he sported black socks, violating ICC regulations mandating white, cream, or light grey. While his career-best 147 anchored India's innings, the sock choice drew attention, potentially leading to a reprimand or fine.",Criticism,"Criticism, Passive-Aggressive",0.729
28,"Shubman Gill's captaincy debut began spectacularly as India dominated England in Leeds. Yashasvi Jaiswal scored a century on his first English innings, while Gill made his maiden overseas Test century, both achieving unique milestones. India ended day one at 359/3, aiming to build a massive first-innings lead, reminiscent of their victorious 2002 Leeds performance.",Passive-Aggressive,,0.744
29,"Rahul Gandhi has intensified his criticism of the Election Commission, alleging a lack of transparency and the destruction of vital election data. The EC defended its decision to erase CCTV footage 45 days post-election, citing voter privacy and potential misuse. Officials stated that releasing webcasting footage could compromise voter security and contravene legal provisions, despite claims of promoting democratic integrity.",Criticism,"Criticism, Passive-Aggressive, Offensive",0.571
30,"Shubman Gill's impressive Test captaincy debut, marked by a brilliant century against England, is slightly overshadowed by a potential ICC violation. Gill was seen wearing black socks, breaching regulations that mandate white, cream, or light grey socks. This fashion faux pas could lead to a reprimand or fine, despite his stellar performance and India's dominant position at 359/3 at stumps.",Criticism,Criticism,0.804
31,"The IDF announced the killing of Behnam Shahriyari, commander of the Quds Force's Weapons Transfer Unit, responsible for funneling weapons and funds to Iranian proxies. Saeed Izadi, a senior IRGC commander and key liaison with Hamas, was also eliminated in a separate strike.",Offensive,"Offensive, Criticism",0.974
32,"A controversial project is dividing Turkey: “Kanal Istanbul.” The plan to double the Bosphorus shipping route, from the Black Sea to the Sea of Marmara, by digging an artificial canal has reignited clashes between the government and the opposition. Report by Jenna Le Bras and Adrià Rocha Cutiller.",Criticism,Criticism,0.871
33,"Israel's military said Saturday it had killed a top Iranian commander in charge of military coordination with Palestinian militant group Hamas in a strike on Qom, south of Tehran. Detailsb y FRANCE 24 correspondent in Jerusalem, Noga Tarnopolsky.",Criticism,"Criticism, Offensive",0.984
34,"Facing heavy missile strikes from Tel Aviv, Iranians are fleeing the country, notably from Tehran. Lines have begun to form at Iran's border with Turkey. Story France 2 and Caroline Baum.",Criticism,Criticism,0.987
35,"Italy and the European Union announced €1.2 billion in investment for Africa as part of an ambitious development plan. Italy's Giorgia Meloni also promoted her government's ""Mattei Plan"". Critics are questioning Italy's priorities, with some saying it clearly favours Italy's interests – notably on curbing immigration and securing energy supplies.",Criticism,"Criticism, Passive-Aggressive",0.53
36,"Donald Trump's toying with the idea of striking Iran has divided his base, with more MAGA Republicans arguing it is a betrayal of America-first, while hawkish Republican senators support a more aggressive approach. Analysis by Richard Johnson, a lecturer in US Politics at Queen Mary University of London.",Criticism,Criticism,0.812
37,"Columbia University graduate Mahmoud Khalil walked out of a Louisiana immigrant detention center on Friday, hours after a judge ordered his release, a major victory for rights groups that challenged what they called the Trump administration's unlawful targeting of a pro-Palestinian activist. Details by FRANCE 24 correspondent in New York, Jessica Le Masurier.",Criticism,Criticism,0.649
38,"French President Emmanuel Macron on Saturday said that he had spoken over the phone with Iranian President Masoud Pezeshkian and that they had agreed to accelerate negotiations between European leaders and Iran over its nuclear programme. “I am convinced there is a way out of the war and to avoid greater dangers,” Macron said. Follow our liveblog for all the latest updates.",Criticism,"Criticism, Passive-Aggressive",0.796
39,"Shaheen Shah Afridi, Babar Azam and Mohammad Rizwan can be seen during a match in this undated image. —AFP/FileCricket Australia announced the list of players including 74 Pakistani cricketers participating in Big Bash League . Among the list are Babar Azam, Shaheen Afridi, Muhammad Rizwan...",Passive-Aggressive,Passive-Aggressive,0.623
40,"Gold medallist Arshad Nadeem of Pakistan celebrates with his medal on the podium after winning gold at the Paris 2024 Olympics. —Reuters/FileArshad Nadeem, who became the first Pakistani to win an individual Olympic gold medal, has been named in Forbes’ 30 Under 30 Asia list for...",Passive-Aggressive,Passive-Aggressive,0.518
41,"South Africa's Kagiso Rabada celebrates with teammates after taking the wicket of Australia's Cameron Green, caught out by Aiden Markram on July 11, 2025. — ReutersKagiso Rabada was left to reflect on what might have been, despite claiming five wickets on the opening day of the World Test...",Sarcastic,"Sarcastic, Criticism",0.788
42,Special Assistant to the Prime Minister on Public and Political Affairs Rana Sanaullah. — PID/FileFAISALABAD: Special Assistant to the Prime Minister on Public and Political Affairs Rana Sanaullah said Saturday that the Pakistan Tehreek-e-Insaf 's proposed movement is unlikely to gain...,Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.505
43,"Hamza Khan from Pakistan is posing with the winning trophy at Men's Golden Open Squash Championship happened in Kalgoorlie, Australia — ReporterKARACHI: Pakistan’s Hamza Khan defeated Hong Kong’s Ka Hei Ho in straight games to claim the Men’s Golden Open Squash Championship...",Passive-Aggressive,Passive-Aggressive,0.606
44,"Top diplomats from Britain, France and Germany met with Iran’s foreign minister in a last-ditch effort to avoid escalation in the Israel-Iran conflict.",Criticism,Criticism,0.541
45,"Paris St Germain fans celebrate with flares after winning the Champions League in Champions League final against Inter Milan at Allianz Arena, Munich, Germany on May 31, 2025. — ReutersMUNICH: Paris St Germain have won the Champions League title for the first time in their history —...",Passive-Aggressive,Passive-Aggressive,0.826
46,Hours of talks aimed at de-escalating fighting between Israel and Iran failed to produce a diplomatic breakthrough as the war entered its second week.,Criticism,"Criticism, Sarcastic, Passive-Aggressive, Offensive",0.975
47,"American singer Chris Brown has appeared in a UK court, charged with grievous bodily harm over an alleged nightclub assault in 2023.",Offensive,,0.99
48,Israel’s ability to conserve its stocks of precious anti-missile rockets will determine if it can sustain a long-term conflict.,Criticism,Criticism,0.892
49,"Click to expand Image Photo released by the Vietnam News Agency on January 5, 2021 shows Vietnamese bloggers Pham Chi Dung (right), Nguyen Tuong Thuy (front left), and Le Huu Minh Tuan (back left) during their trial in Ho Chi Minh city. © 2021 STR/Vietnam News Agency/AFP via Getty Image (New York) – The Vietnamese government should immediately release the imprisoned journalist Le Huu Minh Tuan and allow him to obtain medical treatment in Vietnam or abroad, Human Rights Watch said today. Tuan’s family says that he is suffering from internal hemorrhoids causing severe bleeding and needs urgent care. “Le Huu Minh Tuan is among a long list of Vietnamese imprisoned for their peaceful opinions,” said Patricia Gossman, associate Asia director at Human Rights Watch. “By wrongly prosecuting him and then not providing the health care he needs, the Vietnamese authorities are culpable for his worsening condition.” Tuan, 36, is a member of the Independent Journalists Association of Vietnam. He has written about the democracy protests in Hong Kong and politics in Vietnam. He has stated that he wants “to campaign for a better society by contributing a critical voice on every front of life.” Police arrested Tuan in Quang Nam province on June 12, 2020, and charged him with “making, storing, disseminating, or propagandizing information, materials, and products that aim to oppose the State of the Socialist Republic of Vietnam” under article 117 of the penal code. In January 2021 he was sentenced to 11 years in prison, along with fellow journalists Pham Chi Dung and Nguyen Tuong Thuy. Since he was imprisoned, Tuan has suffered periodically from bloody bowel movements, abdominal pain, and other gastrointestinal problems. The United States Lantos Human Rights Commission reported that in January 2024 Tuan described severe weight loss, indigestion, numbness in both calves, insomnia, dizziness, lightheadedness, confusion, chest pain, and difficulty breathing. Under rule 27 of the United Nations Standard Minimum Rules for the Treatment of Prisoners (the Nelson Mandela Rules), “[a]ll prisons shall ensure prompt access to medical attention in urgent cases. Prisoners who require specialized treatment or surgery shall be transferred to specialized institutions or to civil hospitals.” “The Vietnamese authorities need to be held accountable for denying Le Huu Minh Tuan adequate health care,” Gossman said. “They should immediately free Tuan and all other prisoners wrongfully detained.”",Criticism,"Criticism, Offensive, Passive-Aggressive, Sarcastic",0.046
50,"Click to expand Image International Criminal Court in The Hague, Netherlands, April 30, 2024. © 2024 Peter Dejong/AP Photo When the EU’s 27 foreign ministers meet on June 23, they should make defending the International Criminal Court (ICC) from escalating attacks by the Trump administration a top priority. On June 6, the US administration sanctioned four ICC judges. The new designations follow sanctions imposed by the US in February against the court’s prosecutor, and strike at the core principle of independent, impartial justice. In imposing the latest sanctions, the US Secretary of State Marco Rubio stated that the judges, who include an EU national from Slovenia, were targeted because of their roles in the ICC’s Palestine and Afghanistan investigations. The impact of these sanctions goes far beyond the targeted people and investigations. They could create a chilling effect on companies and organizations that provide services and support to, or that cooperate with, the ICC, raising fears of legal and financial repercussions from the US government. If these companies and organizations are forced to back away from the court, this will have serious consequences for the court’s ability to execute its global mandate. Following the announcement of the latest US sanctions, several EU governments and EU leaders – along with other member countries of the court – rightly expressed regret and reaffirmed support for the ICC. More is needed now to ensure the court can continue its vital work. The court’s member states are its frontline defense against this attack. The Netherlands, where the court is located, has of course a critical role to play, but it cannot do it alone. The EU has a unique tool it can use to defend justice: the blocking statute. It prohibits EU entities from complying with sanctions programs listed in its annex. The European Commission can add the US sanctions on the ICC to its annex. The Commission recently said that it is “monitoring implications” and “examining all possible measures” before responding. Slovenia and Belgium, alongside the European Parliament, urged the Commission to act after the US announced this new round of sanctions. Sweden, too, publicly signaled its openness to explore the statute’s activation. The EU should follow through on its stated commitments and ensure its responses include both strong words and strong action on its support for the ICC. On Monday, EU foreign ministers should clearly signal their support for the court and request that the Commission employ all measures – including the blocking statute – to preserve victims’ access to justice.",Offensive,"Offensive, Criticism, Sarcastic",0.8
51,"Facing an uncertain future amid escalating tensions, Iran's Supreme Leader Ayatollah Ali Khamenei has reportedly designated three senior clerics as potential successors, signaling a shift away from dynastic succession by excluding his son, Mojtaba. This unprecedented move coincides with Khamenei's retreat to a secure bunker following threats from the US and Israel, highlighting the fragility surrounding Iran's leadership.",Criticism,Criticism,0.786
52,"Syarhei Tsikhanouski seen smiling in video shared by wife Svetlana Tsikhanouskaya after his release One of the leaders of Belarus’s opposition movement, Syarhei Tsikhanouski, has been released from jail after being pardoned, the Belarusian human rights group Viasna has said. His wife, Svetlana Tsikhanouskaya, who took over the opposition cause after his jailing, on Saturday shared a video of him smiling and embracing her after his release with the caption: “FREE”. Continue reading...",Passive-Aggressive,"Passive-Aggressive, Criticism, Sarcastic",0.482
53,Thousands of U.S. troops stationed in the Middle East are within striking distance of ballistic missiles Iran has stockpiled.,Criticism,Criticism,0.944
54,The continent’s most important leaders are divided over Israel’s conduct and filled with fears about a spiraling regional conflict.,Offensive,"Offensive, Criticism",0.922
55,"Iran faces a potential breaking point as analysts examine what could follow if the regime collapses, as continuing Israeli airstrikes ignite debate over what the day after might look like.",Criticism,Criticism,0.904
56,"Israel has some options to target Iran's Fordow nuclear site, former Israeli military intelligence Chief Amos Yadlin said, pointing to past successful operations.",Criticism,,0.693
57,U.S. Ambassador to Israel Mike Huckabee indicated that work is being done to provide evacuation options to Americans in the Jewish state.,Passive-Aggressive,,0.636
58,White House Press Secretary Karoline Leavitt said Thursday that President Donald Trump will make a decision on the U.S. becoming involved in Israel's conflict with Iran within the next two weeks.,Criticism,"Criticism, Passive-Aggressive",0.628
59,"World leaders at the G7, which U.S. President Donald Trump left early, did not make major agreements on issues like the Russia-Ukraine and Israel-Iran wars, the Associated Press claimed.",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.721
60,"A UN commission sparked backlash after issuing a scathing 19-page report in which its members accuse Israel of committing ""the crime against humanity of extermination.""",Offensive,"Offensive, Criticism",0.965
61,"Emmanuel Mwamba and Fiona Mulaisho respond to an editorial on US aid cuts to Zambia and huge sums taken out of the country by multinationals Your editorial ( The Guardian view on Zambia’s Trumpian predicament: US aid cuts are dwarfed by a far bigger heist, 10 January ) highlights research by Prof Andrew Fischer, and the exploitation of Zambia’s commodity resources via illicit financial schemes. Many Zambians have raised the issue of this looting for years, but have met coordinated resistance. Consequently, Zambia’s treasury loses billions of dollars in revenue. These losses are driven by well-known multinationals working in concert with certain insiders close to the Zambian state. Your editorial also says: “The US decision to cut $50m a year in aid to Zambia … is dreadful, and the reason given, corruption, rings hollow.” Alas, I disagree and wish to place this in context. Continue reading...",Criticism,"Criticism, Passive-Aggressive, Offensive, Sarcastic",0.544
62,"Both parties have made closing submissions in their wage dispute before the NSW industrial relations tribunal Get our breaking news email , free app or daily news podcast Closing submissions have been heard in the long-running dispute between psychiatrists – who are pushing for a 25% pay increase – and the New South Wales department of health, bringing to a close a landmark legal action brought by the psychiatrists, who argue psychiatric care in NSW is facing “collapse” because of poor pay and conditions. Over two days this week, the Industrial Relations Commission court in Sydney heard closing submissions from lawyers, before the full bench retired to consider their decision. Sign up for Guardian Australia’s breaking news email Continue reading...",Criticism,"Criticism, Passive-Aggressive, Sarcastic",0.649
63,"This blog is now closed. Read our latest Iran-Israel conflict story here Donald Trump is once again repeating unfounded claims that the results of the 2020 presidential election were fraudulent , saying that the evidence is “massive and overwhelming” but not providing any of it. The president called for a special prosecutor to be appointed to the case. He wrote on Truth Social this morning: Continue reading...",Criticism,"Criticism, Passive-Aggressive, Offensive",0.739
64,"Appeals court backs Trump's control of the California National Guard for now, divisions grow among Trump supporters over Iran, EU ministers undertake diplomatic effort to end Iran-Israel conflict.",Criticism,Criticism,0.612
65,"The world is running out of time to rein in human-driven climate change, with top UN scientists warning that key indicators are now in uncharted territory.",Criticism,,0.735
66,"More than 3,000 incidents were recorded in 2024, including verbal attacks, women being spat on and mosques being defaced. In other news, a ceremony was held in Berlin to remember an East German uprising. DW has more.",Criticism,"Criticism, Offensive, Passive-Aggressive",0.992
67,"President Volodymyr Zelenskyy said Kyiv had experienced ""one of the most horrific attacks"" of the war, with at least 15 people killed. Dozens of locations in Kyiv were reported to have been hit. Follow DW for more.",Offensive,"Offensive, Criticism, Passive-Aggressive",0.99
68,"As Israel and Iran attack each other with missiles, Israel is especially targeting key oil and gas facilities. That could have a major impact on Iran's economy.",Offensive,"Offensive, Criticism",0.994
69,"The world is facing a health financing emergency, according to Dr. Kalipso Chalkidou, Director for Health Financing and Economics for the World Health Organization (WHO).",Criticism,Criticism,0.736
70,"Click to expand Image Kaja Kallas, High Representative of the EU for Foreign Affairs and Security Policy, speaking in Brussels, Belgium, December 16, 2024. © 2024 European Union (Brussels) – The European Union should immediately suspend its trade agreement with Israel as long as Israel’s atrocity crimes persist, Human Rights Watch and over 110 organizations and trade unions said in a joint statement on June 19, 2025. This would be the first measure taken by the EU in the last two years to ensure some accountability for Israeli authorities’ egregious abuses of Palestinians. EU foreign ministers are expected to discuss the EU-Israel Association Agreement on June 23, when they will receive an assessment of Israel’s compliance with article 2 of the agreement, which qualifies “respect for human rights and democratic principles” in “internal and international policy” as an “essential element” of the agreement. The review was initiated on May 20, when 17 out of 27 EU foreign ministers supported a proposal by the Dutch government. The EU is Israel’s biggest trading partner and suspending the trade pillar of the agreement would reinstate tariffs on bilateral trade. “As parties to the Genocide Convention, all EU states are bound to ‘employ all reasonable means’ to stop Israeli atrocities, but, instead, many EU states have stood by, quiet and at risk of complicity,” said Claudio Francavilla, acting EU director at Human Rights Watch. “EU foreign ministers shouldn’t let the escalating hostilities between Israel and Iran take focus away from the ongoing extermination and apartheid against the Palestinians; they should suspend the trade pillar of the EU-Israel Association Agreement without further delay.” Review of the EU-Israel agreement is taking place as Israeli authorities continue their military operations in Gaza, during which they have committed war crimes, crimes against humanity, and acts of genocide. Israeli authorities have also flouted three binding orders by the International Court of Justice (ICJ) in a case brought by South Africa alleging that Israel is violating the Genocide Convention. The court’s measures included requiring Israel to prevent genocide against Palestinians in Gaza, enable the provision of basic services and humanitarian assistance, and prevent and punish incitement to commit genocide. Human Rights Watch has long called on states to use their leverage to press Israel to halt its abuses and comply with the ICJ’s orders. As parties to the UN Genocide Convention, all EU member states have an obligation to “employ all means reasonably available to them, so as to prevent genocide so far as possible.” That obligation arises as soon as a state learns, or should normally have learned, of a serious risk that genocide may be committed. A definitive determination that genocide is already underway is not required, as Human Rights Watch set out in an April 2025 intervention challenging the UK government’s continued licensing of military equipment used by Israeli forces in Gaza. The capacity of a state to influence the actors at risk of committing genocide weigh substantially on how courts assess their international responsibility for failing to prevent genocide. This includes factors such as geographic proximity, political and other links, and the means available to the state to exert influence. When considering this responsibility, the ICJ has held that states that have “means likely to have a deterrent effect on those suspected of preparing genocide, or reasonably suspected of harboring specific intent” are “under a duty to make such use of these means.” Israeli authorities have also failed to comply with the obligations from a landmark July 2024 ICJ advisory opinion, and in a September 2024 UN General Assembly resolution largely endorsing its content. The ICJ found Israel’s occupation of the Occupied Palestinian Territory to be illegal and marred by serious abuses – including apartheid and racial segregation – and said that it should be dismantled, along with Israel’s illegal settlements. A March 2025 report by the Office of the UN High Commissioner for Human Rights documented a significant expansion of Israeli settlements in the West Bank, where Israeli forces have ratcheted up repression, displacing tens of thousands of Palestinians at a scale not seen there since 1967 and killing over 930 since October 2023. In its advisory opinion, the ICJ also referenced the obligation of all states parties to the Fourth Geneva Convention – including all EU member states – “to ensure compliance by Israel with international humanitarian law as embodied in that Convention.” The advisory opinion also said that states should take steps to prevent trade relations that “assist in the maintenance of the illegal situation created by Israel” in the occupied territories, including with relation to “economic or trade dealings.” Yet, amid sharp divisions, the EU has not adopted any measure to pressure Israeli authorities to comply with the laws of war and prevent genocide. Unlike measures that require unanimity – such as targeted sanctions, an EU-wide arms embargo, or the suspension of the whole EU-Israel Association Agreement – the suspension of the agreement’s trade pillar would require the support of a qualified majority of EU member states. The suspension, first requested by Spain and Ireland in February 2024, would not result in a complete trade ban but would reinstate tariffs on bilateral trade. In November, EU foreign ministers received a (recently leaked) report by the then-EU special representative for human rights, Olof Skoog, compiling findings by independent UN bodies and international courts on Israel’s abuses throughout the occupied territory. Shortly afterward, the International Criminal Court issued arrest warrants against Israel’s prime minister, Benjamin Netanyahu, and former defense minister, Yoav Gallant, as well as a Hamas leader who has since been killed. At that time, EU foreign ministers could have taken concrete measures, such as a review of the EU-Israel Association Agreement. Instead, they reconvened an official meeting of the EU-Israel Association Council with their Israeli counterpart, Gideon Sa’ar. During that meeting, held in February amid a fragile ceasefire in Gaza, the EU said the Israeli government should take a number of actions, including implementing the ICJ binding orders to allow unhindered provision of humanitarian aid at scale throughout Gaza and ending Israel’s illegal settlement policy in the West Bank. Israeli authorities defied those calls, and instead imposed a total siege on Gaza and approved new West Bank settlements. A UN conference on a two-state solution and Middle East peace, set to be held from June 17–20, was postponed due to the ongoing hostilities between Israel and Iran. In a June 5 letter, Human Rights Watch urged EU member states to use the conference as an opportunity to move beyond repeated affirmations of support for human rights and international law, and toward concrete, time-bound measures – such as suspending arms transfers and bilateral deals and banning trade with settlements – to ensure their enforcement. In fact, with the exception of notable initiatives by individual member states and targeted sanctions against some violent Israeli settlers, EU action has largely been paralyzed by the European Commission’s reluctance and opposition by a core group of governments – chiefly Hungary, the Czech Republic, Germany, Italy, and Austria, but also Greece, Cyprus, Croatia, Lithuania, Bulgaria, and Romania – creating a sense of impunity among Israeli authorities. The ongoing review of the Association Agreement is the closest the EU has come to holding Israeli authorities to account; however, the review will have little practical effect if not followed by the suspension of the trade pillar, Human Rights Watch said. “For nearly 21 months now, the EU has watched escalating atrocities against Palestinians without taking any real measure to uphold international law,” Francavilla said. “Reviewing and suspending the agreement is a chance for the bloc to salvage what’s left of the credibility of its commitment to human rights and international law, and to finally take action to respond to Israeli authorities ongoing acts of genocide.”",Criticism,"Criticism, Offensive, Sarcastic, Passive-Aggressive",0.731
71,Higher defence spending will top the agenda when members of the Western alliance gather in The Hague.,Criticism,,0.742
72,"One week since the Israel-Iran conflict erupted, diplomatic efforts to end the war are ramping up in Geneva as foreign ministers from France, Germany, the UK and the EU prepare to meet their Iranian counterpart. In New York, meanwhile, the UN Security Council heard the UN Secretary-General warn ambassadors that “we are on course to chaos” if the war widens “which could ignite a fire that no one can can control.” UN News app users can follow here.",Criticism,"Criticism, Passive-Aggressive",0.96
73,"As deadly missile exchanges between Israel and Iran enter a second week, the United Nations is sounding alarm over the growing toll on civilians, warning of mass displacement and regional instability.",Criticism,Criticism,0.997
74,"As the Iran-Israel crisis continued into a sixth day on Wednesday, the UN deputy human rights chief Nada Al-Nashif called for urgent talks to end the ongoing missile attacks between Tehran and Tel Aviv.",Criticism,"Criticism, Offensive, Passive-Aggressive",0.988
75,"Faridabad police unearthed the decomposed body of Tanu Rajput, a 25-year-old woman, from a pit outside her in-laws' house in Roshan Nagar, nearly two months after her disappearance. Her husband, Arun Singh, and his parents are suspected of murdering her and burying her body.",Passive-Aggressive,"Passive-Aggressive, Criticism",0.935
76,"Amidst rising Middle East tensions, the Indian embassy in Israel refuted claims of forcing Indian citizens to leave, dismissing a fake social media post. The embassy encouraged citizens to rely on official channels for accurate updates and register for assistance.",Criticism,"Criticism, Passive-Aggressive",0.534
77,"An Air India flight from Delhi to Hong Kong experienced a mid-air door malfunction, causing unsettling noises and shaking. Flight attendants used napkins to mitigate the issue, and the flight landed safely. Similar incidents have occurred on Boeing 787s previously, though experts assure that such door issues don't compromise flight safety, highlighting the redundancy in safety measures.",Criticism,Criticism,0.916
78,"India is looking to reduce its reliance on China for rare earth minerals with a Rs 3,500-Rs 5,000 crore scheme to boost domestic production. This initiative comes as China's export restrictions on rare earths have raised concerns in the Indian automotive and renewable energy sectors.",Criticism,Criticism,0.604
